Gate 1 to source voltage[V],Gate 2 to source voltage[V],Gate 3 to source voltage[V],E0 [eV],E1 [eV],E2 [eV],E3 [eV],E4 [eV],E5 [eV],E6 [eV],E7 [eV],E8 [eV],E9 [eV],E10 [eV],E11 [eV]
1.05,1.15,1.25,1.13310900599413,1.13079483756704,1.13444149377846,1.13220356871372,1.13252936624606,1.13498331151626,1.13633300329707,1.13389647171846,1.13699223512404,1.13431046895283,1.13775271914384,1.13441035314458
1.06,1.15,1.24,1.13307826142809,1.13152888529442,1.13441022354729,1.13290601646483,1.13319301163796,1.13494511668923,1.13629432785363,1.13452332124635,1.13655993832692,1.13505557609119,1.13705078742737,1.13491840999949
1.07,1.15,1.23,1.13304616660663,1.13187103780558,1.13437759451306,1.13322771852012,1.13352018355782,1.13490510132,1.13625284764748,1.13484066442403,1.13652631849996,1.1353733195763,1.13710616870192,1.13524337967036
1.08,1.15,1.22,1.13301351945395,1.13208343011316,1.13434397043846,1.13342877120979,1.13374065732428,1.13486323944587,1.13620991758198,1.1350590687044,1.13649153850189,1.1355760715061,1.13701858639641,1.13548197226277
1.09,1.15,1.21,1.13297715178639,1.13223004895541,1.13430768175806,1.13357095285479,1.13390716825277,1.13481960633828,1.13616524325551,1.13522691794636,1.13645434779589,1.13572819460341,1.13692974610398,1.13566874421737
1.1,1.15,1.2,1.13293994497953,1.13235002381558,1.13426973299443,1.13368619871082,1.1340440174785,1.13477293968971,1.13611751163326,1.13536516350308,1.13641533835955,1.13581148497846,1.13686364174321,1.13587228556441
1.11,1.15,1.19,1.13297112769271,1.13251393148186,1.13428337474599,1.13383019053739,1.13418803420999,1.1347571780316,1.13609228475148,1.13550302276308,1.1364222863486,1.13596087727636,1.13681914392785,1.13603689894925
1.12,1.15,1.18,1.13292894524679,1.13259391344708,1.13424082009423,1.13390947881622,1.13428680918302,1.1347048787984,1.13603881740509,1.13560412791851,1.1363786836978,1.13604328319954,1.13674384390614,1.13616764091858
1.13,1.15,1.17,1.1328838901615,1.13266427683803,1.13419546017072,1.13397942639454,1.13437425197269,1.13464907586808,1.13598178948659,1.1356937373807,1.13633223386655,1.13611504196215,1.13666310816856,1.13628688779214
1.14,1.15,1.16,1.1328354575297,1.13272715510426,1.13414680712611,1.13404210428219,1.13445267148029,1.13458920901128,1.13592061403411,1.13577419127924,1.13628245539542,1.13617910028839,1.13657635493123,1.13639549076242
1.15,1.15,1.15,1.13278304090848,1.13278414289729,1.13409427790008,1.13409904894001,1.13452332985782,1.13452519036502,1.13584727852222,1.13585466680419,1.13622875766324,1.13623722473329,1.13647994998891,1.13649779334574
1.16,1.15,1.14,1.13272579678786,1.1328362990494,1.13403707070939,1.13415131059321,1.134589432122,1.13445392354958,1.13578247222589,1.1359146137393,1.13617030934483,1.13629052862948,1.13637999992894,1.13658750558658
1.17,1.15,1.13,1.13266251215081,1.13288437101909,1.13397399949922,1.1341995761339,1.1346498864834,1.13437609251622,1.13570307331082,1.13597673244455,1.13610593177201,1.13633978129887,1.13626850614504,1.13667237100292
1.18,1.15,1.12,1.13259193009153,1.13292927788441,1.13390387490495,1.13424474708663,1.13470636299011,1.13428944527643,1.13561472477403,1.13603477109358,1.13603431781046,1.13638585876278,1.13614613988412,1.13675143254332
1.19,1.15,1.11,1.13244287933746,1.13290077961273,1.13377348926966,1.13423370291097,1.13472624691699,1.13416198928069,1.13549355302987,1.13606474704927,1.13590549331788,1.13638106115656,1.13598868566131,1.13680038399723
1.2,1.15,1.1,1.13241831522183,1.13301053435027,1.13373225335185,1.13432673653894,1.13480900815947,1.13407811680613,1.13539960820651,1.13614029204495,1.13586908136006,1.13646956306857,1.13585005928744,1.13689434208531
1.21,1.15,1.09,1.13230683598013,1.13304823034476,1.13362265182243,1.13436481783936,1.13485649713474,1.13394465591203,1.13526410627043,1.13618908038902,1.13575136470816,1.13650841989008,1.13568647931745,1.13695967055162
1.22,1.15,1.08,1.13207955977723,1.13301234490905,1.13342220882112,1.13434639210473,1.13486659022844,1.13374416354751,1.13507238567966,1.13620929503051,1.13555775566852,1.13649633994363,1.13545574317974,1.13699532259898
1.23,1.15,1.07,1.13186543617975,1.1330452174996,1.13322069845181,1.13438006905134,1.13490908734673,1.13352185929294,1.13485252896972,1.13625311243897,1.13535601102907,1.13653096050179,1.13521211571246,1.13705308297352
1.24,1.15,1.06,1.13152180541577,1.13307712940136,1.13289943715069,1.13441245012703,1.13494951101599,1.13319040248742,1.13453093385265,1.13629477296297,1.13503840253332,1.13656417759669,1.13488495708112,1.13710723011079
1.25,1.15,1.05,1.13078882727259,1.13310780826905,1.1322018225791,1.13444357070054,1.13498823378692,1.13251625205647,1.13389249430729,1.13633464805148,1.13437442837564,1.13659610973085,1.13430347915324,1.13716104747602
